GUARD CENSUS — GUARDS-MUST-PROVE-THEY-FIRE-01 (2026-09-01T19:08:42Z)
guards: 125 | fixtures run: 4 | fixture-proven: 4 | regressions: 0
(dead first: regressions, bails, missing, not-wired, never-ran — the top of this table is where the failures live)
GUARD                                      EVENT            STATE             LAST-RAN              LAST-FIRED            FIXTURE
leadv2-compact-trigger.sh                  -                not-wired         -                     -                     no
leadv2-compact-warn.sh                     -                not-wired         -                     -                     no
leadv2-context-glossary-close.sh           -                not-wired         -                     -                     no
leadv2-continuation-guard.sh               -                not-wired         -                     -                     no
leadv2-cwd-changed.sh                      -                not-wired         -                     -                     no
leadv2-deny-floor.sh                       -                not-wired         -                     -                     no
leadv2-env-audit-pre-gate.sh               -                not-wired         -                     -                     no
leadv2-force-read-limit.sh                 -                not-wired         -                     -                     no
leadv2-force-reflect.sh                    -                not-wired         -                     -                     no
leadv2-hardbans-reinject.sh                -                not-wired         -                     -                     no
leadv2-hook-fork-budget.sh                 -                not-wired         -                     -                     no
leadv2-idle-guard-arm.sh                   -                not-wired         -                     -                     no
leadv2-idle-lead-guard.sh                  -                not-wired         -                     -                     yes
leadv2-idle-notification-filter.sh         -                not-wired         -                     -                     no
leadv2-install-dispatcher.sh               -                not-wired         -                     -                     no
leadv2-lead-prose-guard.sh                 -                not-wired         -                     -                     no
leadv2-lead-read-guard.sh                  -                not-wired         -                     -                     no
leadv2-learn-consume.sh                    -                not-wired         -                     -                     no
leadv2-link-tree-heal.sh                   -                not-wired         -                     -                     no
leadv2-merged-worktree-sweep.sh            -                not-wired         -                     -                     no
leadv2-mode-isolation.sh                   -                not-wired         -                     -                     no
leadv2-orphan-monitor-sweep.sh             -                not-wired         -                     -                     no
leadv2-pending-close-inject.sh             -                not-wired         -                     -                     no
leadv2-pending-questions-inject.sh         -                not-wired         -                     -                     no
leadv2-postcompact-goal-reinject.sh        -                not-wired         -                     -                     no
leadv2-pre-compact-checkpoint.sh           -                not-wired         -                     -                     no
leadv2-precompact-log.sh                   -                not-wired         -                     -                     no
leadv2-promise-guard.sh                    -                not-wired         -                     -                     yes
leadv2-pulse-enforcer.sh                   -                not-wired         -                     -                     no
leadv2-pulse-json.sh                       -                not-wired         -                     -                     no
leadv2-read-dedup-hard.sh                  -                not-wired         -                     -                     no
leadv2-schema-audit-pre-gate.sh            -                not-wired         -                     -                     no
leadv2-stale-pid-sweep.sh                  -                not-wired         -                     -                     no
leadv2-subagent-stop-verify.sh             -                not-wired         -                     -                     no
leadv2-task-anchor.sh                      -                not-wired         -                     -                     no
leadv2-task-created.sh                     -                not-wired         -                     -                     no
leadv2-truth-card-inject.sh                -                not-wired         -                     -                     no
leadv2-user-prompt-context.sh              -                not-wired         -                     -                     no
leadv2-warn-bash-diff-read.sh              -                not-wired         -                     -                     no
post-compact-reground.sh                   -                not-wired         -                     -                     no
pre-compact-task-freeze.sh                 -                not-wired         -                     -                     no
